V0;V1;V2;V3;V4;V5;V6;V7;V8;V9
1;4;23;3;1;1;1;963;3;5
2;3;49;4;2;3;4;2509;3;8
3;4;50;4;2;3;4;2738;2;10
4;4;27;1;1;2;0;922;1;13
5;3;21;2;1;2;1;894;3;13
6;4;29;4;2;2;1;2092;1;8
7;4;26;3;2;2;1;1350;3;2
8;1;55;4;2;2;0;897;3;13
9;4;18;2;1;1;0;979;3;3
10;5;58;3;1;1;1;1046;3;13
11;5;33;3;2;1;1;2072;3;9
12;4;28;3;2;2;0;1418;1;13
13;5;21;4;2;1;1;915;1;11
14;4;50;3;2;2;1;1737;3;14
15;4;54;4;1;4;4;1073;3;13
16;6;21;3;1;1;0;1328;1;10
17;5;48;3;1;3;3;846;1;10
18;4;46;3;1;1;0;917;3;13
19;3;35;3;1;5;0;1181;1;13
20;6;25;2;2;1;1;1347;3;9
21;6;24;3;2;1;0;1022;3;13
22;4;38;3;2;4;3;988;1;5
23;6;27;3;2;1;1;1827;1;6
24;6;19;2;2;1;1;961;1;13
25;4;20;2;1;1;1;899;1;13
26;6;22;2;1;1;1;3;13;
27;5;18;3;1;1;1;1613;3;5
28;6;18;2;1;1;1;1;14;
29;5;27;4;1;1;1;1681;3;5
30;6;43;3;1;4;4;2425;4;7
31;5;23;4;2;1;1;1915;1;10
32;6;23;2;2;1;1;885;3;7
33;6;23;2;2;1;1;824;1;12
34;4;27;3;1;2;0;829;3;1
35;4;20;3;2;1;1;949;1;7
36;6;19;2;2;1;0;854;3;5
37;4;23;2;2;1;0;1000;3;9
38;1;31;4;1;1;1;998;1;13
39;2;33;1;1;2;1;981;3;4
